NREGION;CODIGO;NNROVIV;NHOGAR;PONDERA;C1_P01;C1_P02;C1_P03;C1_P04;C1_P05;C1_P06;C1_P07;C1_P08;C1_P09;C1_P10;C1_P11;C1_P12;C1_P13;DefMaterial_Paredes;DefMaterial_Pisos;DefGas;CantPob_0_17;CantPob_5_17;Act_5_17;ClimaEduHogar;Hog_AUH;Hog_AyudasProgSoc
1;1424;1;1;658;1;1;1;2;2;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1425;1;1;1178;1;1;1;2;2;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1426;1;1;1408;1;1;1;2;2;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1427;1;1;706;1;1;1;2;2;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1428;1;1;1220;1;1;1;3;3;1;1;2;1;1;3;9;1;0;0;1;0;0; ; ; ; 
1;1429;1;1;1415;1;1;1;1;1;1;1;5;1;1;2;1;3;0;0;99;0;0; ; ; ; 
1;1430;1;1;706;1;1;1;2;2;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1431;1;1;891;1;1;1;2;2;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1432;1;1;706;1;1;1;3;3;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1433;1;1;1155;1;1;1;3;3;1;1;1;1;1;2;1;1;0;0;0;0;0; ; ; ; 
1;1434;1;1;952;1;1;1;2;2;1;1;1;1;1;2;2;1;0;0;0;0;0; ; ; ; 
1;1435;1;1;1152;1;1;1;1;1;1;1;3;1;1;2;1;3;0;0;1;0;0; ; ; ; 
1;1436;1;1;966;2;1;1;3;3;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1437;1;1;1067;2;1;1;1;1;1;1;1;1;1;1;1;3;0;0;0;0;0; ; ; ; 
1;1438;1;1;1151;2;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1439;1;1;706;1;1;1;3;3;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1440;1;1;815;1;1;1;2;2;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1441;1;1;445;1;1;1;3;3;1;1;1;1;1;1;9;1;0;0;0;0;0; ; ; ; 
1;1442;1;1;578;1;1;1;2;2;1;1;1;1;1;3;1;2;0;0;0;0;0; ; ; ; 
1;1519;1;1;933;1;1;1;2;2;1;2;1;1;1;2;1;1;0;0;0;4;3;0;1;2;2
1;1520;1;3;579;1;1;1;3;1;1;1;1;1;1;2;1;1;0;0;0;1;1;0;2;2;2
1;1521;1;1;1102;1;1;1;3;3;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1523;1;1;1043;1;1;1;3;3;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1529;1;1;329;1;1;1;1;1;1;2;5;1;2;1;1;3;0;0;99;0;0; ; ; ; 
1;1532;1;1;2245;2;1;1;1;1;1;1;1;1;1;1;1;3;0;0;0;0;0; ; ; ; 
1;1602;1;1;1032;1;1;1;2;2;1;1;1;1;1;3;1;9;0;0;0;0;0; ; ; ; 
1;1603;1;1;561;1;1;1;3;3;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
